d_idle,p_idle,idle,total_d,total_p,total,ep
21.0,301.0,322.0,1202.0,710.0,1912.0,245
33.0,227.0,260.0,1214.0,636.0,1850.0,246
23.0,341.0,364.0,1204.0,750.0,1954.0,247
51.0,309.0,360.0,1232.0,718.0,1950.0,248
35.0,399.0,434.0,1216.0,808.0,2024.0,249
24.0,284.0,308.0,1205.0,693.0,1898.0,250
49.0,348.0,397.0,1230.0,757.0,1987.0,251
26.0,280.0,306.0,1207.0,689.0,1896.0,252
38.0,350.0,388.0,1219.0,759.0,1978.0,253
22.0,377.0,399.0,1203.0,786.0,1989.0,254
17.0,491.0,508.0,1198.0,900.0,2098.0,255
43.0,243.0,286.0,1224.0,652.0,1876.0,256
8.0,369.0,377.0,1189.0,778.0,1967.0,257
40.0,237.0,277.0,1221.0,646.0,1867.0,258
29.0,343.0,372.0,1210.0,752.0,1962.0,259
95.0,285.0,380.0,1276.0,694.0,1970.0,260
40.0,205.0,245.0,1221.0,614.0,1835.0,261
54.0,264.0,318.0,1235.0,673.0,1908.0,262
26.0,346.0,372.0,1207.0,755.0,1962.0,263
2.0,306.0,308.0,1183.0,715.0,1898.0,264
48.0,381.0,429.0,1229.0,790.0,2019.0,265
45.0,275.0,320.0,1226.0,684.0,1910.0,266
33.0,289.0,322.0,1214.0,698.0,1912.0,267
22.0,352.0,374.0,1203.0,761.0,1964.0,268
19.0,274.0,293.0,1200.0,683.0,1883.0,269
31.0,253.0,284.0,1212.0,662.0,1874.0,270
43.0,339.0,382.0,1224.0,748.0,1972.0,271
26.0,280.0,306.0,1207.0,689.0,1896.0,272
46.0,236.0,282.0,1227.0,645.0,1872.0,273
38.0,309.0,347.0,1219.0,718.0,1937.0,274
36.0,338.0,374.0,1217.0,747.0,1964.0,275
27.0,355.0,382.0,1208.0,764.0,1972.0,276
89.0,264.0,353.0,1270.0,673.0,1943.0,277
31.0,372.0,403.0,1212.0,781.0,1993.0,278
52.0,330.0,382.0,1233.0,739.0,1972.0,279
25.0,398.0,423.0,1206.0,807.0,2013.0,280
23.0,417.0,440.0,1204.0,826.0,2030.0,281
13.0,274.0,287.0,1194.0,683.0,1877.0,282
26.0,399.0,425.0,1207.0,808.0,2015.0,283
46.0,287.0,333.0,1227.0,696.0,1923.0,284
53.0,399.0,452.0,1234.0,808.0,2042.0,285
51.0,304.0,355.0,1232.0,713.0,1945.0,286
35.0,255.0,290.0,1216.0,664.0,1880.0,287
52.0,445.0,497.0,1233.0,854.0,2087.0,288
22.0,342.0,364.0,1203.0,751.0,1954.0,289
9.0,328.0,337.0,1190.0,737.0,1927.0,290
46.0,274.0,320.0,1227.0,683.0,1910.0,291
20.0,264.0,284.0,1201.0,673.0,1874.0,292
22.0,345.0,367.0,1203.0,754.0,1957.0,293
40.0,436.0,476.0,1221.0,845.0,2066.0,294
56.0,320.0,376.0,1237.0,729.0,1966.0,295
31.0,305.0,336.0,1212.0,714.0,1926.0,296
37.0,305.0,342.0,1218.0,714.0,1932.0,297
38.0,275.0,313.0,1219.0,684.0,1903.0,298
16.0,342.0,358.0,1197.0,751.0,1948.0,299
46.0,298.0,344.0,1227.0,707.0,1934.0,300
9.0,356.0,365.0,1190.0,765.0,1955.0,301
38.0,268.0,306.0,1219.0,677.0,1896.0,302
38.0,275.0,313.0,1219.0,684.0,1903.0,303
46.0,251.0,297.0,1227.0,660.0,1887.0,304
31.0,364.0,395.0,1212.0,773.0,1985.0,305
22.0,290.0,312.0,1203.0,699.0,1902.0,306
19.0,352.0,371.0,1200.0,761.0,1961.0,307
36.0,312.0,348.0,1217.0,721.0,1938.0,308
25.0,433.0,458.0,1206.0,842.0,2048.0,309
55.0,327.0,382.0,1236.0,736.0,1972.0,310
35.0,365.0,400.0,1216.0,774.0,1990.0,311
9.0,351.0,360.0,1190.0,760.0,1950.0,312
5.0,322.0,327.0,1186.0,731.0,1917.0,313
31.0,371.0,402.0,1212.0,780.0,1992.0,314
41.0,188.0,229.0,1222.0,597.0,1819.0,315
31.0,270.0,301.0,1212.0,679.0,1891.0,316
34.0,236.0,270.0,1215.0,645.0,1860.0,317
5.0,499.0,504.0,1186.0,908.0,2094.0,318
30.0,342.0,372.0,1211.0,751.0,1962.0,319
16.0,265.0,281.0,1197.0,674.0,1871.0,320
68.0,337.0,405.0,1249.0,746.0,1995.0,321
18.0,309.0,327.0,1199.0,718.0,1917.0,322
51.0,407.0,458.0,1232.0,816.0,2048.0,323
33.0,309.0,342.0,1214.0,718.0,1932.0,324
37.0,372.0,409.0,1218.0,781.0,1999.0,325
24.0,408.0,432.0,1205.0,817.0,2022.0,326
8.0,289.0,297.0,1189.0,698.0,1887.0,327
10.0,341.0,351.0,1191.0,750.0,1941.0,328
45.0,390.0,435.0,1226.0,799.0,2025.0,329
78.0,224.0,302.0,1259.0,633.0,1892.0,330
23.0,391.0,414.0,1204.0,800.0,2004.0,331
53.0,294.0,347.0,1234.0,703.0,1937.0,332
22.0,411.0,433.0,1203.0,820.0,2023.0,333
27.0,309.0,336.0,1208.0,718.0,1926.0,334
32.0,267.0,299.0,1213.0,676.0,1889.0,335
43.0,310.0,353.0,1224.0,719.0,1943.0,336
28.0,259.0,287.0,1209.0,668.0,1877.0,337
35.0,333.0,368.0,1216.0,742.0,1958.0,338
29.0,303.0,332.0,1210.0,712.0,1922.0,339
44.0,320.0,364.0,1225.0,729.0,1954.0,340
32.0,280.0,312.0,1213.0,689.0,1902.0,341
17.0,412.0,429.0,1198.0,821.0,2019.0,342
25.0,497.0,522.0,1206.0,906.0,2112.0,343
34.0,399.0,433.0,1215.0,808.0,2023.0,344
28.0,252.0,280.0,1209.0,661.0,1870.0,345
33.0,381.0,414.0,1214.0,790.0,2004.0,346
57.0,388.0,445.0,1238.0,797.0,2035.0,347
16.0,313.0,329.0,1197.0,722.0,1919.0,348
32.0,421.0,453.0,1213.0,830.0,2043.0,349
92.0,320.0,412.0,1273.0,729.0,2002.0,350
19.0,440.0,459.0,1200.0,849.0,2049.0,351
32.0,344.0,376.0,1213.0,753.0,1966.0,352
28.0,270.0,298.0,1209.0,679.0,1888.0,353
37.0,407.0,444.0,1218.0,816.0,2034.0,354
29.0,376.0,405.0,1210.0,785.0,1995.0,355
49.0,257.0,306.0,1230.0,666.0,1896.0,356
18.0,267.0,285.0,1199.0,676.0,1875.0,357
54.0,206.0,260.0,1235.0,615.0,1850.0,358
54.0,347.0,401.0,1235.0,756.0,1991.0,359
16.0,324.0,340.0,1197.0,733.0,1930.0,360
41.0,324.0,365.0,1222.0,733.0,1955.0,361
16.0,313.0,329.0,1197.0,722.0,1919.0,362
37.0,329.0,366.0,1218.0,738.0,1956.0,363
45.0,328.0,373.0,1226.0,737.0,1963.0,364
59.0,238.0,297.0,1240.0,647.0,1887.0,365
39.0,469.0,508.0,1220.0,878.0,2098.0,366
44.0,364.0,408.0,1225.0,773.0,1998.0,367
47.0,242.0,289.0,1228.0,651.0,1879.0,368
31.0,387.0,418.0,1212.0,796.0,2008.0,369
27.0,313.0,340.0,1208.0,722.0,1930.0,370
32.0,374.0,406.0,1213.0,783.0,1996.0,371
36.0,143.0,179.0,1217.0,552.0,1769.0,372
7.0,322.0,329.0,1188.0,731.0,1919.0,373
10.0,309.0,319.0,1191.0,718.0,1909.0,374
